"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Delta",2022-11-28,NA,NA,NA,"Nov 28, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-11-28,NA,NA,NA,"Nov 28, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-11-28,NA,NA,NA,"Nov 28, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-11-28,NA,NA,NA,"Nov 28, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-11-28,0.03,0.03,0.037143,"Nov 28, 2022<br><b>Omicron BA.2.75</b> 3%"
"Omicron BA.4",2022-11-28,0.01,0.01,0.012857,"Nov 28, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-11-28,NA,NA,NA,"Nov 28, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-11-28,0.37,0.37,0.327143,"Nov 28, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 37%"
"Omicron BQ.1",2022-11-28,0.55,0.55,0.577143,"Nov 28, 2022<br><b>Omicron BQ.1</b> 55%"
"XBB",2022-11-28,NA,NA,NA,"Nov 28, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-11-29,0.03,0.03,0.031429,"Nov 29, 2022<br><b>Omicron BA.2.75</b> 3%"
"Omicron BA.4",2022-11-29,0.02,0.02,0.014286,"Nov 29, 2022<br><b>Omicron BA.4</b> 2%"
"Omicron BA.4 and BA.5",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-11-29,0.46,0.46,0.342857,"Nov 29, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 46%"
"Omicron BQ.1",2022-11-29,0.44,0.44,0.562857,"Nov 29, 2022<br><b>Omicron BQ.1</b> 44%"
"XBB",2022-11-29,NA,NA,NA,"Nov 29, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-11-30,0.04,0.04,0.034286,"Nov 30, 2022<br><b>Omicron BA.2.75</b> 4%"
"Omicron BA.4",2022-11-30,0.01,0.01,0.011429,"Nov 30, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-11-30,0.23,0.23,0.331429,"Nov 30, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 23%"
"Omicron BQ.1",2022-11-30,0.61,0.61,0.565714,"Nov 30, 2022<br><b>Omicron BQ.1</b> 61%"
"XBB",2022-11-30,NA,NA,NA,"Nov 30, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-01,0.03,0.03,0.034286,"Dec 01, 2022<br><b>Omicron BA.2.75</b> 3%"
"Omicron BA.4",2022-12-01,0.01,0.01,0.012857,"Dec 01, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-01,0.51,0.51,0.345714,"Dec 01, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 51%"
"Omicron BQ.1",2022-12-01,0.41,0.41,0.554286,"Dec 01, 2022<br><b>Omicron BQ.1</b> 41%"
"XBB",2022-12-01,NA,NA,NA,"Dec 01, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-02,0.04,0.04,0.035714,"Dec 02, 2022<br><b>Omicron BA.2.75</b> 4%"
"Omicron BA.4",2022-12-02,0.01,0.01,0.012857,"Dec 02, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-02,0.32,0.32,0.351429,"Dec 02, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 32%"
"Omicron BQ.1",2022-12-02,0.58,0.58,0.544286,"Dec 02, 2022<br><b>Omicron BQ.1</b> 58%"
"XBB",2022-12-02,NA,NA,NA,"Dec 02, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-03,0.04,0.04,0.035714,"Dec 03, 2022<br><b>Omicron BA.2.75</b> 4%"
"Omicron BA.4",2022-12-03,0.01,0.01,0.011429,"Dec 03, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-03,0.46,0.46,0.375714,"Dec 03, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 46%"
"Omicron BQ.1",2022-12-03,0.42,0.42,0.515714,"Dec 03, 2022<br><b>Omicron BQ.1</b> 42%"
"XBB",2022-12-03,NA,NA,NA,"Dec 03, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-04,0.02,0.02,0.032857,"Dec 04, 2022<br><b>Omicron BA.2.75</b> 2%"
"Omicron BA.4",2022-12-04,0.01,0.01,0.011429,"Dec 04, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-04,0.44,0.44,0.398571,"Dec 04, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 44%"
"Omicron BQ.1",2022-12-04,0.46,0.46,0.495714,"Dec 04, 2022<br><b>Omicron BQ.1</b> 46%"
"XBB",2022-12-04,NA,NA,NA,"Dec 04, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-05,0.02,0.02,0.031429,"Dec 05, 2022<br><b>Omicron BA.2.75</b> 2%"
"Omicron BA.4",2022-12-05,0.03,0.03,0.014286,"Dec 05, 2022<br><b>Omicron BA.4</b> 3%"
"Omicron BA.4 and BA.5",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-05,0.24,0.24,0.38,"Dec 05, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 24%"
"Omicron BQ.1",2022-12-05,0.66,0.66,0.511429,"Dec 05, 2022<br><b>Omicron BQ.1</b> 66%"
"XBB",2022-12-05,NA,NA,NA,"Dec 05, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-06,0.07,0.07,0.037143,"Dec 06, 2022<br><b>Omicron BA.2.75</b> 7%"
"Omicron BA.4",2022-12-06,0,0,0.011429,"Dec 06, 2022<br><b>Omicron BA.4</b> 0%"
"Omicron BA.4 and BA.5",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-06,0.35,0.35,0.364286,"Dec 06, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 35%"
"Omicron BQ.1",2022-12-06,0.57,0.57,0.53,"Dec 06, 2022<br><b>Omicron BQ.1</b> 57%"
"XBB",2022-12-06,NA,NA,NA,"Dec 06, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-07,0.05,0.05,0.038571,"Dec 07, 2022<br><b>Omicron BA.2.75</b> 5%"
"Omicron BA.4",2022-12-07,0,0,0.01,"Dec 07, 2022<br><b>Omicron BA.4</b> 0%"
"Omicron BA.4 and BA.5",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-07,0.22,0.22,0.362857,"Dec 07, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-12-07,0.67,0.67,0.538571,"Dec 07, 2022<br><b>Omicron BQ.1</b> 67%"
"XBB",2022-12-07,NA,NA,NA,"Dec 07, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-08,0.01,0.01,0.035714,"Dec 08, 2022<br><b>Omicron BA.2.75</b> 1%"
"Omicron BA.4",2022-12-08,0.01,0.01,0.01,"Dec 08, 2022<br><b>Omicron BA.4</b> 1%"
"Omicron BA.4 and BA.5",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-08,0.43,0.43,0.351429,"Dec 08, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 43%"
"Omicron BQ.1",2022-12-08,0.46,0.46,0.545714,"Dec 08, 2022<br><b>Omicron BQ.1</b> 46%"
"XBB",2022-12-08,NA,NA,NA,"Dec 08, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-09,0.07,0.07,0.04,"Dec 09, 2022<br><b>Omicron BA.2.75</b> 7%"
"Omicron BA.4",2022-12-09,0.02,0.02,0.011429,"Dec 09, 2022<br><b>Omicron BA.4</b> 2%"
"Omicron BA.4 and BA.5",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-09,0.28,0.28,0.345714,"Dec 09, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 28%"
"Omicron BQ.1",2022-12-09,0.62,0.62,0.551429,"Dec 09, 2022<br><b>Omicron BQ.1</b> 62%"
"XBB",2022-12-09,NA,NA,NA,"Dec 09, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-10,0.06,0.06,0.042857,"Dec 10, 2022<br><b>Omicron BA.2.75</b> 6%"
"Omicron BA.4",2022-12-10,0,0,0.01,"Dec 10, 2022<br><b>Omicron BA.4</b> 0%"
"Omicron BA.4 and BA.5",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-10,0.33,0.33,0.327143,"Dec 10, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 33%"
"Omicron BQ.1",2022-12-10,0.51,0.51,0.564286,"Dec 10, 2022<br><b>Omicron BQ.1</b> 51%"
"XBB",2022-12-10,NA,NA,NA,"Dec 10, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-11,0.02,0.02,0.042857,"Dec 11, 2022<br><b>Omicron BA.2.75</b> 2%"
"Omicron BA.4",2022-12-11,0,0,0.008571,"Dec 11, 2022<br><b>Omicron BA.4</b> 0%"
"Omicron BA.4 and BA.5",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-11,0.31,0.31,0.308571,"Dec 11, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 31%"
"Omicron BQ.1",2022-12-11,0.64,0.64,0.59,"Dec 11, 2022<br><b>Omicron BQ.1</b> 64%"
"XBB",2022-12-11,NA,NA,NA,"Dec 11, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-12,0.03,0.03,0.044286,"Dec 12, 2022<br><b>Omicron BA.2.75</b> 3%"
"Omicron BA.4",2022-12-12,0,0,0.004286,"Dec 12, 2022<br><b>Omicron BA.4</b> 0%"
"Omicron BA.4 and BA.5",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-12,0.11,0.11,0.29,"Dec 12, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 11%"
"Omicron BQ.1",2022-12-12,0.81,0.81,0.611429,"Dec 12, 2022<br><b>Omicron BQ.1</b> 81%"
"XBB",2022-12-12,NA,NA,NA,"Dec 12, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-13,0.07,0.07,0.044286,"Dec 13, 2022<br><b>Omicron BA.2.75</b> 7%"
"Omicron BA.4",2022-12-13,NA,NA,0.005,"Dec 13, 2022<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-13,0.26,0.26,0.277143,"Dec 13, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 26%"
"Omicron BQ.1",2022-12-13,0.65,0.65,0.622857,"Dec 13, 2022<br><b>Omicron BQ.1</b> 65%"
"XBB",2022-12-13,NA,NA,NA,"Dec 13, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-12-14,NA,NA,NA,"Dec 14, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-14,NA,NA,NA,"Dec 14, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-14,NA,NA,NA,"Dec 14, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-14,NA,NA,NA,"Dec 14, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-14,NA,NA,NA,"Dec 14, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-14,0.04,0.04,0.042857,"Dec 14, 2022<br><b>Omicron BA.2.75</b> 4%"
"Omicron BA.4",2022-12-14,NA,NA,0.006,"Dec 14, 2022<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2022-12-14,NA,NA,NA,"Dec 14, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-14,0.22,0.22,0.277143,"Dec 14, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-12-14,0.69,0.69,0.625714,"Dec 14, 2022<br><b>Omicron BQ.1</b> 69%"
"XBB",2022-12-14,0.06,0.06,0.06,"Dec 14, 2022<br><b>XBB</b> 6%"
"Alpha, Beta & Gamma",2022-12-15,NA,NA,NA,"Dec 15, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-15,NA,NA,NA,"Dec 15, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-15,NA,NA,NA,"Dec 15, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-15,NA,NA,NA,"Dec 15, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-15,NA,NA,NA,"Dec 15, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-15,0.02,0.02,0.044286,"Dec 15, 2022<br><b>Omicron BA.2.75</b> 2%"
"Omicron BA.4",2022-12-15,NA,NA,0.005,"Dec 15, 2022<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2022-12-15,NA,NA,NA,"Dec 15, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-15,0.16,0.16,0.238571,"Dec 15, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 16%"
"Omicron BQ.1",2022-12-15,0.78,0.78,0.671429,"Dec 15, 2022<br><b>Omicron BQ.1</b> 78%"
"XBB",2022-12-15,0.03,0.03,0.045,"Dec 15, 2022<br><b>XBB</b> 3%"
"Alpha, Beta & Gamma",2022-12-16,NA,NA,NA,"Dec 16, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-16,NA,NA,NA,"Dec 16, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-16,NA,NA,NA,"Dec 16, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-16,NA,NA,NA,"Dec 16, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-16,NA,NA,NA,"Dec 16, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2022-12-16,0.05,0.05,0.041429,"Dec 16, 2022<br><b>Omicron BA.2.75</b> 5%"
"Omicron BA.4",2022-12-16,NA,NA,0,"Dec 16, 2022<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2022-12-16,NA,NA,NA,"Dec 16, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-12-16,0.23,0.23,0.231429,"Dec 16, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 23%"
"Omicron BQ.1",2022-12-16,0.66,0.66,0.677143,"Dec 16, 2022<br><b>Omicron BQ.1</b> 66%"
"XBB",2022-12-16,0.06,0.06,0.05,"Dec 16, 2022<br><b>XBB</b> 6%"
"Alpha, Beta & Gamma",2022-12-17,NA,NA,NA,"Dec 17, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-12-17,NA,NA,NA,"Dec 17, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-12-17,NA,NA,NA,"Dec 17, 2022<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-12-17,NA,NA,NA,"Dec 17, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2022-12-17,NA,NA,NA,"Dec 17, 2022<br><b>Omicron BA.2.12.1</b> NaN%"
